geometry,구,lon,lat,charge_time
POINT (127.4121514666667 36.34946286666666),대덕구,127.41215146666669,36.34946286666666,451
POINT (127.4455392 36.3474061),동구,127.4455392,36.3474061,499
POINT (127.3083035 36.35849273333333),유성구,127.3083035,36.35849273333333,449
POINT (127.2955886250754 36.37754375385419),유성구,127.2955886250754,36.37754375385419,525
POINT (127.3774507666667 36.3476074),서구,127.37745076666668,36.3476074,424
POINT (127.3600214539109 36.35873553014748),서구,127.36002145391092,36.35873553014748,423
POINT (127.4042833333333 36.30607136666667),중구,127.40428333333334,36.30607136666667,476
POINT (127.39906137805 36.33327284527907),중구,127.39906137805,36.33327284527907,495
POINT (127.43590565 36.32394078333333),동구,127.43590565,36.323940783333335,489
POINT (127.4581035822042 36.32318965219402),동구,127.45810358220425,36.32318965219402,448
POINT (127.3728832038912 36.42649705143135),유성구,127.37288320389123,36.42649705143136,446
POINT (127.4103215 36.32320145),중구,127.4103215,36.32320145,474
POINT (127.4448821 36.3223212),동구,127.4448821,36.322321200000005,514
POINT (127.37808735 36.3418934),서구,127.37808735,36.3418934,529
POINT (127.39393672 36.43064438),유성구,127.39393672,36.43064438,456
POINT (127.4163118666667 36.33227683333334),중구,127.41631186666666,36.33227683333334,501
POINT (127.44643325 36.305995),중구,127.44643325,36.305995,468
POINT (127.31481112 36.3698405),유성구,127.31481112,36.3698405,527
POINT (127.3747046553338 36.30041954628113),서구,127.37470465533376,36.30041954628113,536
POINT (127.36954895 36.35207365),서구,127.36954895,36.35207365,447
POINT (127.3600909948369 36.36385448028843),유성구,127.3600909948369,36.36385448028843,478
POINT (127.3085589166667 36.35984958333333),유성구,127.30855891666668,36.35984958333333,491
POINT (127.376001625 36.3236205),서구,127.376001625,36.3236205,457
POINT (127.4095734116133 36.33648592439809),중구,127.40957341161328,36.33648592439809,446
POINT (127.3873502583333 36.34598334166667),서구,127.38735025833334,36.34598334166667,1086
POINT (127.4122576 36.31693623333333),중구,127.4122576,36.31693623333333,1161
POINT (127.4199956 36.31900385),중구,127.4199956,36.31900385,1142
POINT (127.4284321 36.3628283),대덕구,127.4284321,36.3628283,1180
POINT (127.3877109044505 36.31583528594515),중구,127.38771090445054,36.31583528594515,1188
POINT (127.3653687333333 36.35986763333334),서구,127.36536873333333,36.35986763333334,1176
POINT (127.4198614 36.3295321),중구,127.4198614,36.3295321,1116
POINT (127.338286552485 36.38885053910506),유성구,127.33828655248496,36.38885053910506,1137
POINT (127.3902926735186 36.29454939153381),중구,127.3902926735186,36.294549391533806,1143
POINT (127.4058697193876 36.37983295256295),유성구,127.40586971938764,36.37983295256295,1165
POINT (127.3895445510388 36.31021197123916),중구,127.3895445510388,36.31021197123916,1129
POINT (127.333314380757 36.39063528477752),유성구,127.33331438075705,36.39063528477752,1186
POINT (127.3374582 36.3462959),유성구,127.3374582,36.3462959,1085
POINT (127.4236255333333 36.4335856),대덕구,127.42362553333334,36.4335856,1125
POINT (127.3463335333333 36.3245882),서구,127.34633353333334,36.3245882,1190
POINT (127.36665464 36.33881682),서구,127.36665464,36.33881682,1102
POINT (127.42300455 36.42406339999999),대덕구,127.42300455,36.4240634,1185
POINT (127.3054307 36.37548201818182),유성구,127.3054307,36.37548201818182,1108
POINT (127.3766395833333 36.32241581666666),서구,127.37663958333331,36.32241581666666,1092
POINT (127.3840957 36.35584493333333),서구,127.3840957,36.35584493333333,1095
POINT (127.3604297993804 36.37450367511781),유성구,127.36042979938036,36.37450367511781,1143
POINT (127.44713744 36.3447139),동구,127.44713744,36.3447139,1087
POINT (127.44393705 36.34051765),동구,127.44393705,36.34051765,1096
POINT (127.3767339 36.47294638),유성구,127.3767339,36.47294638,1127
POINT (127.3957593666667 36.43846616666666),대덕구,127.39575936666668,36.43846616666666,1092
POINT (127.3645547666667 36.3553972),서구,127.36455476666669,36.3553972,1097
POINT (127.32511625 36.29763905),서구,127.32511625,36.29763905,1167
POINT (127.36923304 36.33197662),서구,127.36923304,36.33197662,1188
POINT (127.4111405646034 36.31058045479489),중구,127.4111405646034,36.31058045479489,1126
POINT (127.4282309069482 36.44046962994157),대덕구,127.42823090694824,36.44046962994157,1087
POINT (127.4305661363973 36.33614864056068),동구,127.43056613639727,36.33614864056068,1102
POINT (127.4498389194683 36.36103438558589),대덕구,127.44983891946826,36.36103438558589,1199
POINT (127.3810123321897 36.31102375811983),서구,127.38101233218966,36.31102375811983,1179
POINT (127.3846340514011 36.35564433282526),서구,127.38463405140114,36.355644332825264,1106
POINT (127.418797 36.32665196666667),중구,127.418797,36.32665196666667,1178
POINT (127.37174955 36.36133625),서구,127.37174955,36.36133625,1084
POINT (127.38935015 36.3450974),서구,127.38935015,36.3450974,1161
POINT (127.38070985 36.38468055),유성구,127.38070985,36.38468055,1091
POINT (127.3193724604925 36.36295722747199),유성구,127.31937246049247,36.362957227472,1109
POINT (127.3219000333333 36.2947434),서구,127.32190003333334,36.2947434,1182
POINT (127.4016029123579 36.42194032172287),유성구,127.40160291235787,36.42194032172287,1127
POINT (127.4109201 36.3333312),중구,127.4109201,36.3333312,1151
POINT (127.44615985 36.31262175000001),동구,127.44615985,36.312621750000005,1118
POINT (127.379266251995 36.41863133747425),유성구,127.37926625199498,36.418631337474245,1095
POINT (127.37751812 36.35527352),서구,127.37751812,36.35527352,1098
POINT (127.3956599166667 36.32140586666667),중구,127.39565991666666,36.321405866666666,1134
POINT (127.3829845700937 36.37890637360793),유성구,127.38298457009374,36.378906373607926,1111
POINT (127.3917528545455 36.33821450909091),서구,127.39175285454546,36.33821450909091,1064
POINT (127.44820426 36.3469416),동구,127.44820426,36.3469416,875
POINT (127.4352781 36.35541003333333),동구,127.4352781,36.35541003333333,1174
POINT (127.314826925 36.297956375),유성구,127.314826925,36.297956375,606
POINT (127.3171638101769 36.29945469964311),유성구,127.31716381017694,36.29945469964312,338
POINT (127.4323417 36.3537565),동구,127.4323417,36.3537565,441
POINT (127.3818788727273 36.33592853636363),서구,127.38187887272728,36.33592853636363,768
POINT (127.4210013267561 36.34426066672592),동구,127.42100132675608,36.34426066672592,1313
